l_c_results_id	chosen_order	string_identifier
19|5	fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6,fic_1964_10443.txt-4110-1,fic_1846_8819.txt-1554-0,mag_1982_298124.txt-17-12,mag_1833_564542.txt-49-6	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
300|5	fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6,mag_1982_298124.txt-17-12,fic_1964_10443.txt-4110-1,fic_1846_8819.txt-1554-0,mag_1833_564542.txt-49-6	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
374|5	fic_1964_10443.txt-4110-1,fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6,fic_1846_8819.txt-1554-0,mag_1833_564542.txt-49-6,mag_1982_298124.txt-17-12	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
233|5	fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6,fic_1964_10443.txt-4110-1,mag_1982_298124.txt-17-12,mag_1833_564542.txt-49-6,fic_1846_8819.txt-1554-0	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
226|5	fic_1964_10443.txt-4110-1,fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6,mag_1833_564542.txt-49-6,fic_1846_8819.txt-1554-0,mag_1982_298124.txt-17-12	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
278|5	fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6,fic_1964_10443.txt-4110-1,mag_1982_298124.txt-17-12,fic_1846_8819.txt-1554-0,mag_1833_564542.txt-49-6	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
168|5	fic_1995_39274.txt-549-6,fic_1964_10443.txt-4110-1,fic_1995_39279.txt-448-14,mag_1982_298124.txt-17-12,fic_1846_8819.txt-1554-0,mag_1833_564542.txt-49-6	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
360|5	fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6,mag_1833_564542.txt-49-6,fic_1964_10443.txt-4110-1,fic_1846_8819.txt-1554-0,mag_1982_298124.txt-17-12	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
188|5	fic_1995_39274.txt-549-6,fic_1964_10443.txt-4110-1,fic_1846_8819.txt-1554-0,fic_1995_39279.txt-448-14,mag_1982_298124.txt-17-12,mag_1833_564542.txt-49-6	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
236|6	fic_2009_36786.txt-91-3,fic_2009_36731.txt-175-10,fic_2002_47139.txt-175-11,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3,mag_1828_553927.txt-412-12	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
15|6	fic_2009_36731.txt-175-10,fic_2009_36786.txt-91-3,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3,fic_2002_47139.txt-175-11,mag_1828_553927.txt-412-12	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
410|6	fic_2009_36731.txt-175-10,mag_1828_553927.txt-412-12,fic_2002_47139.txt-175-11,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3,fic_2009_36786.txt-91-3	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
378|6	fic_2009_36731.txt-175-10,fic_2009_36786.txt-91-3,mag_2007_390968.txt-43-4,fic_2002_47139.txt-175-11,nf_1846_748061.txt-1284-3,mag_1828_553927.txt-412-12	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
156|6	fic_2002_47139.txt-175-11,fic_2009_36731.txt-175-10,mag_1828_553927.txt-412-12,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3,fic_2009_36786.txt-91-3	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
292|6	fic_2009_36731.txt-175-10,fic_2009_36786.txt-91-3,fic_2002_47139.txt-175-11,mag_1828_553927.txt-412-12,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
64|6	fic_2009_36786.txt-91-3,fic_2009_36731.txt-175-10,mag_2007_390968.txt-43-4,fic_2002_47139.txt-175-11,mag_1828_553927.txt-412-12,nf_1846_748061.txt-1284-3	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
77|6	fic_2009_36731.txt-175-10,fic_2009_36786.txt-91-3,fic_2002_47139.txt-175-11,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3,mag_1828_553927.txt-412-12	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
409|6	fic_2009_36731.txt-175-10,mag_1828_553927.txt-412-12,fic_2002_47139.txt-175-11,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3,fic_2009_36786.txt-91-3	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
294|6	fic_2009_36731.txt-175-10,fic_2009_36786.txt-91-3,fic_2002_47139.txt-175-11,mag_2007_390968.txt-43-4,mag_1828_553927.txt-412-12,nf_1846_748061.txt-1284-3	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
178|6	fic_2009_36731.txt-175-10,fic_2009_36786.txt-91-3,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3,mag_1828_553927.txt-412-12,fic_2002_47139.txt-175-11	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
165|6	fic_2009_36731.txt-175-10,fic_2009_36786.txt-91-3,fic_2002_47139.txt-175-11,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3,mag_1828_553927.txt-412-12	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
385|6	fic_2009_36786.txt-91-3,fic_2009_36731.txt-175-10,fic_2002_47139.txt-175-11,mag_1828_553927.txt-412-12,mag_2007_390968.txt-43-4,nf_1846_748061.txt-1284-3	fic_2000_52518.txt-317-5||fic_2002_47139.txt-175-11||fic_2009_36731.txt-175-10||fic_2009_36786.txt-91-3||mag_1828_553927.txt-412-12||mag_2007_390968.txt-43-4||nf_1846_748061.txt-1284-3
251|7	study_usage_25,study_usage_24,study_usage_23,study_usage_22,study_usage_27	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
230|7	study_usage_22,study_usage_27,study_usage_23,study_usage_24,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
373|7	study_usage_24,study_usage_27,study_usage_25,study_usage_22,study_usage_23	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
416|7	study_usage_22,study_usage_27,study_usage_23,study_usage_25,study_usage_24	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
91|7	study_usage_22,study_usage_23,study_usage_27,study_usage_24,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
393|7	study_usage_22,study_usage_23,study_usage_27,study_usage_25,study_usage_24	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
299|7	study_usage_23,study_usage_27,study_usage_24,study_usage_22,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
242|7	study_usage_23,study_usage_27,study_usage_24,study_usage_22,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
172|7	study_usage_23,study_usage_27,study_usage_22,study_usage_24,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
381|7	study_usage_22,study_usage_23,study_usage_24,study_usage_27,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
259|7	study_usage_22,study_usage_23,study_usage_27,study_usage_24,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
154|7	study_usage_24,study_usage_23,study_usage_27,study_usage_22,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
5|7	study_usage_22,study_usage_24,study_usage_23,study_usage_27,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
405|7	study_usage_22,study_usage_23,study_usage_27,study_usage_24,study_usage_25	study_usage_21||study_usage_22||study_usage_23||study_usage_24||study_usage_25||study_usage_27
359|8	study_usage_32,study_usage_34,study_usage_36,study_usage_33,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
74|8	study_usage_32,study_usage_33,study_usage_34,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
285|8	study_usage_33,study_usage_32,study_usage_34,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
241|8	study_usage_33,study_usage_34,study_usage_32,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
398|8	study_usage_32,study_usage_34,study_usage_33,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
411|8		study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
388|8	study_usage_33,study_usage_34,study_usage_32,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
7|8	study_usage_33,study_usage_34,study_usage_32,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
366|8	study_usage_33,study_usage_32,study_usage_34,study_usage_35,study_usage_36	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
382|8	study_usage_33,study_usage_34,study_usage_32,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
62|8	study_usage_32,study_usage_33,study_usage_34,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
203|8	study_usage_32,study_usage_34,study_usage_36,study_usage_33,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
419|8	study_usage_32,study_usage_33,study_usage_36,study_usage_34,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
222|8	study_usage_32,study_usage_34,study_usage_33,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
298|8	study_usage_32,study_usage_33,study_usage_34,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
191|8	study_usage_33,study_usage_32,study_usage_34,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
238|8	study_usage_32,study_usage_33,study_usage_34,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
3|8	study_usage_32,study_usage_33,study_usage_36,study_usage_34,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
368|8	study_usage_32,study_usage_34,study_usage_33,study_usage_36,study_usage_35	study_usage_31||study_usage_32||study_usage_33||study_usage_34||study_usage_35||study_usage_36
