	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	median_label	non_nan_count
968	fic_1993_25016.txt-1330-5	mag_2001_410379.txt-52-6	bar	dwug_en	1.0	1.0								1.0	2
969	fic_1993_25016.txt-1330-5	mag_2001_416721.txt-69-0	bar	dwug_en	1.0			1.0						1.0	2
970	fic_1993_25016.txt-1330-5	mag_2002_416592.txt-45-2	bar	dwug_en		2.0		3.0						2.5	2
971	fic_1993_25016.txt-1330-5	mag_2002_421274.txt-153-12	bar	dwug_en				3.0			2.0			2.5	2
973	fic_1993_25016.txt-1330-5	mag_2005_396762.txt-36-69	bar	dwug_en	4.0	4.0								4.0	2
976	fic_1993_25016.txt-1330-5	news_2006_629441.txt-53-23	bar	dwug_en		1.0	1.0							1.0	2
977	fic_1993_25016.txt-1330-5	news_2007_637878.txt-23-19	bar	dwug_en		3.0	1.0				2.0			2.0	3
979	fic_1993_25016.txt-1330-5	nf_1832_758144.txt-1047-14	bar	dwug_en	1.0			1.0						1.0	2
980	fic_1993_25016.txt-1330-5	nf_1833_747463.txt-185-12	bar	dwug_en	1.0	1.0		1.0						1.0	3
984	fic_1993_25016.txt-1330-5	nf_1837_747882.txt-1668-34	bar	dwug_en	1.0		1.0							1.0	2
986	fic_1993_25016.txt-1330-5	nf_1844_747607.txt-3721-35	bar	dwug_en		3.0		3.0						3.0	2
987	fic_1993_25016.txt-1330-5	nf_1844_747607.txt-6839-38	bar	dwug_en	1.0		1.0							1.0	2
994	fic_1993_25016.txt-1330-5	nf_1998_775166.txt-88-20	bar	dwug_en	1.0	3.0	1.0				2.0			1.5	4
995	fic_1993_25016.txt-1330-5	nf_2001_746558.txt-31-50	bar	dwug_en	1.0			1.0						1.0	2
998	fic_1993_25035.txt-2235-16	fic_2000_13995.txt-480-6	bar	dwug_en	4.0			4.0						4.0	2
999	fic_1993_25035.txt-2235-16	fic_2000_52518.txt-317-5	bar	dwug_en	3.0	2.0	4.0	3.0						3.0	4
1000	fic_1993_25035.txt-2235-16	fic_2005_32805.txt-98-8	bar	dwug_en	2.0	2.0	4.0	3.0						2.5	4
1001	fic_1993_25035.txt-2235-16	mag_1827_553832.txt-90-17	bar	dwug_en	1.0		1.0							1.0	2
1003	fic_1993_25035.txt-2235-16	mag_1850_589456.txt-285-8	bar	dwug_en	1.0			1.0						1.0	2
1004	fic_1993_25035.txt-2235-16	mag_1977_490785.txt-157-11	bar	dwug_en				1.0		1.0				1.0	2
1023	fic_1995_53011.txt-273-18	fic_1999_45403.txt-19-31	bar	dwug_en		4.0	4.0	4.0						4.0	3
1024	fic_1995_53011.txt-273-18	fic_2002_47139.txt-175-11	bar	dwug_en	4.0			3.0						3.5	2
1026	fic_1997_14534.txt-664-5	fic_1999_45403.txt-19-31	bar	dwug_en		1.0	1.0							1.0	2
1029	fic_1997_14534.txt-664-5	nf_1846_748061.txt-1284-3	bar	dwug_en	4.0	4.0								4.0	2
1038	fic_1998_31990.txt-71-5	fic_1999_45403.txt-19-31	bar	dwug_en	4.0	4.0								4.0	2
1039	fic_1998_31990.txt-71-5	fic_2000_52518.txt-317-5	bar	dwug_en	4.0	4.0		4.0						4.0	3
1043	fic_1999_28744.txt-4-23	fic_2005_32805.txt-98-8	bar	dwug_en		2.0	1.0	2.0						2.0	3
1044	fic_1999_28744.txt-4-23	mag_1854_555974.txt-331-28	bar	dwug_en	2.0			2.0						2.0	2
1048	fic_1999_45403.txt-19-31	fic_2005_32805.txt-98-8	bar	dwug_en	2.0			3.0	4.0	4.0				3.5	4
1050	fic_1999_45403.txt-19-31	mag_1833_564484.txt-71-112	bar	dwug_en	1.0		1.0	1.0						1.0	3
1051	fic_1999_45403.txt-19-31	mag_1835_554346.txt-252-23	bar	dwug_en	1.0		1.0							1.0	2
1055	fic_1999_45403.txt-19-31	mag_1851_525821.txt-154-28	bar	dwug_en		2.0		1.0						1.5	2
1056	fic_1999_45403.txt-19-31	mag_1854_590346.txt-70-32	bar	dwug_en			1.0	1.0						1.0	2
1058	fic_1999_45403.txt-19-31	mag_2001_416721.txt-69-0	bar	dwug_en			4.0	4.0						4.0	2
1060	fic_1999_45403.txt-19-31	mag_2004_411262.txt-218-15	bar	dwug_en			1.0	2.0						1.5	2
1061	fic_1999_45403.txt-19-31	mag_2009_406395.txt-29-42	bar	dwug_en	1.0			1.0						1.0	2
1064	fic_1999_45403.txt-19-31	news_2000_633241.txt-70-5	bar	dwug_en	4.0			3.0						3.5	2
1065	fic_1999_45403.txt-19-31	nf_1832_758144.txt-1047-14	bar	dwug_en			1.0	1.0						1.0	2
1066	fic_1999_45403.txt-19-31	nf_1841_747644.txt-1703-81	bar	dwug_en		1.0		1.0						1.0	2
1067	fic_1999_45403.txt-19-31	nf_1846_748061.txt-1284-3	bar	dwug_en		1.0		1.0						1.0	2
1068	fic_1999_45403.txt-19-31	nf_1850_748019.txt-94-1	bar	dwug_en	1.0		1.0							1.0	2
1069	fic_1999_45403.txt-19-31	nf_1856_755595.txt-1034-8	bar	dwug_en	4.0	2.0	4.0							4.0	3
1071	fic_1999_45403.txt-19-31	nf_1969_774314.txt-1846-17	bar	dwug_en	1.0			1.0						1.0	2
1072	fic_1999_45403.txt-19-31	nf_1997_746546.txt-5-2	bar	dwug_en			1.0	1.0						1.0	2
1074	fic_1999_45403.txt-19-31	nf_2001_746558.txt-31-50	bar	dwug_en		1.0		1.0						1.0	2
1076	fic_2000_13985.txt-1385-16	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
1077	fic_2000_13985.txt-1385-16	nf_1834_747938.txt-892-30	bar	dwug_en	1.0			1.0						1.0	2
1088	fic_2000_13995.txt-480-6	mag_1989_492439.txt-6-25	bar	dwug_en	1.0	1.0								1.0	2
1090	fic_2000_13995.txt-480-6	mag_2005_396762.txt-36-69	bar	dwug_en		1.0		1.0			1.0			1.0	3
1093	fic_2000_13995.txt-480-6	news_2006_629441.txt-53-23	bar	dwug_en		2.0		4.0						3.0	2
1094	fic_2000_13995.txt-480-6	nf_1833_747716.txt-118-0	bar	dwug_en		1.0					1.0			1.0	2
1096	fic_2000_13995.txt-480-6	nf_1844_747607.txt-6839-38	bar	dwug_en	4.0			1.0						2.5	2
1097	fic_2000_13995.txt-480-6	nf_1857_753133.txt-433-14	bar	dwug_en				1.0			1.0			1.0	2
1100	fic_2000_28758.txt-3-6	fic_2005_32805.txt-98-8	bar	dwug_en	4.0			4.0						4.0	2
1101	fic_2000_28758.txt-3-6	mag_2007_390968.txt-43-4	bar	dwug_en		2.0		3.0						2.5	2
1106	fic_2000_29964.txt-36-7	mag_1821_553342.txt-352-17	bar	dwug_en	1.0		1.0							1.0	2
1108	fic_2000_29964.txt-36-7	mag_1854_555974.txt-331-28	bar	dwug_en			1.0	3.0						2.0	2
1110	fic_2000_30931.txt-158-27	fic_2000_52518.txt-317-5	bar	dwug_en	4.0	2.0		3.0						3.0	3
1111	fic_2000_30931.txt-158-27	mag_1821_553342.txt-352-17	bar	dwug_en	1.0		4.0	1.0						1.0	3
1112	fic_2000_38436.txt-821-29	fic_2002_47139.txt-175-11	bar	dwug_en	4.0			3.0			4.0			4.0	3
1113	fic_2000_38436.txt-821-29	mag_1854_555974.txt-331-28	bar	dwug_en		1.0	1.0							1.0	2
1115	fic_2000_52518.txt-317-5	fic_2002_47139.txt-175-11	bar	dwug_en					4.0	4.0				4.0	2
1116	fic_2000_52518.txt-317-5	fic_2004_780508.txt-1941-2	bar	dwug_en	4.0	4.0		1.0						4.0	3
1117	fic_2000_52518.txt-317-5	fic_2007_33962.txt-183-13	bar	dwug_en		2.0	3.0	3.0						3.0	3
1119	fic_2000_52518.txt-317-5	fic_2009_36731.txt-175-10	bar	dwug_en	4.0	4.0	4.0							4.0	3
1120	fic_2000_52518.txt-317-5	fic_2009_36786.txt-91-3	bar	dwug_en	4.0			4.0						4.0	2
1125	fic_2000_52518.txt-317-5	mag_1827_553787.txt-80-1	bar	dwug_en		1.0	1.0							1.0	2
1126	fic_2000_52518.txt-317-5	mag_1828_553927.txt-412-12	bar	dwug_en		1.0		1.0						1.0	2
1128	fic_2000_52518.txt-317-5	mag_1846_524077.txt-140-15	bar	dwug_en	1.0	3.0		1.0						1.0	3
1129	fic_2000_52518.txt-317-5	mag_1848_555562.txt-529-23	bar	dwug_en		1.0		1.0						1.0	2
1131	fic_2000_52518.txt-317-5	mag_1851_525821.txt-154-28	bar	dwug_en			1.0	1.0						1.0	2
1133	fic_2000_52518.txt-317-5	mag_1983_432145.txt-116-0	bar	dwug_en	4.0	2.0	4.0							4.0	3
1134	fic_2000_52518.txt-317-5	mag_1986_333553.txt-17-4	bar	dwug_en		3.0	4.0							3.5	2
1135	fic_2000_52518.txt-317-5	mag_1989_492439.txt-6-25	bar	dwug_en	1.0	2.0								1.5	2
1138	fic_2000_52518.txt-317-5	mag_2007_390968.txt-43-4	bar	dwug_en		3.0		3.0						3.0	2
1139	fic_2000_52518.txt-317-5	mag_2007_391441.txt-3-8	bar	dwug_en				3.0			4.0			3.5	2
1140	fic_2000_52518.txt-317-5	news_1979_734356.txt-17-9	bar	dwug_en	1.0	2.0	1.0	1.0						1.0	4
1141	fic_2000_52518.txt-317-5	news_1997_632266.txt-80-10	bar	dwug_en		4.0					4.0			4.0	2
1142	fic_2000_52518.txt-317-5	nf_1827_748059.txt-780-6	bar	dwug_en		1.0		2.0						1.5	2
1143	fic_2000_52518.txt-317-5	nf_1833_747463.txt-185-12	bar	dwug_en		2.0	1.0							1.5	2
1144	fic_2000_52518.txt-317-5	nf_1833_747716.txt-118-0	bar	dwug_en		2.0	1.0	1.0						1.0	3
1147	fic_2000_52518.txt-317-5	nf_1834_747938.txt-891-26	bar	dwug_en	1.0	2.0	1.0							1.0	3
1148	fic_2000_52518.txt-317-5	nf_1836_749613.txt-826-35	bar	dwug_en		2.0	1.0	3.0						2.0	3
1149	fic_2000_52518.txt-317-5	nf_1837_747882.txt-1668-34	bar	dwug_en	1.0		1.0							1.0	2
1152	fic_2000_52518.txt-317-5	nf_1846_748061.txt-1284-3	bar	dwug_en	1.0	1.0								1.0	2
1156	fic_2000_52518.txt-317-5	nf_1963_774222.txt-1117-19	bar	dwug_en	1.0	2.0	1.0							1.0	3
1157	fic_2000_52518.txt-317-5	nf_1997_746547.txt-708-17	bar	dwug_en		2.0	1.0	1.0						1.0	3
1158	fic_2000_52518.txt-317-5	nf_2001_746558.txt-31-50	bar	dwug_en		2.0	1.0							1.5	2
1170	fic_2002_47139.txt-175-11	fic_2004_29885.txt-4-10	bar	dwug_en	4.0	4.0		3.0						4.0	3
1171	fic_2002_47139.txt-175-11	mag_1819_553205.txt-172-13	bar	dwug_en		1.0	1.0	1.0						1.0	3
1174	fic_2002_47139.txt-175-11	mag_1827_553811.txt-127-14	bar	dwug_en	1.0	4.0	4.0				1.0			2.5	4
1177	fic_2002_47139.txt-175-11	mag_1840_586555.txt-209-16	bar	dwug_en		1.0		1.0						1.0	2
1178	fic_2002_47139.txt-175-11	mag_1841_554975.txt-467-21	bar	dwug_en	1.0	1.0								1.0	2
1179	fic_2002_47139.txt-175-11	mag_1854_555965.txt-99-21	bar	dwug_en	1.0	1.0		1.0						1.0	3
1181	fic_2002_47139.txt-175-11	mag_1860_556997.txt-31-47	bar	dwug_en			1.0	1.0						1.0	2
1183	fic_2002_47139.txt-175-11	mag_1978_490798.txt-68-16	bar	dwug_en	1.0	3.0		3.0						3.0	3
1184	fic_2002_47139.txt-175-11	mag_2004_411262.txt-218-15	bar	dwug_en	4.0			3.0						3.5	2
1186	fic_2002_47139.txt-175-11	news_1973_731109.txt-17-5	bar	dwug_en			1.0	1.0						1.0	2
1188	fic_2002_47139.txt-175-11	news_2003_603945.txt-25-2	bar	dwug_en	1.0			3.0			1.0			1.0	3
1189	fic_2002_47139.txt-175-11	news_2007_637878.txt-23-19	bar	dwug_en	1.0		1.0							1.0	2
1190	fic_2002_47139.txt-175-11	nf_1832_758144.txt-1047-14	bar	dwug_en	1.0		1.0							1.0	2
1191	fic_2002_47139.txt-175-11	nf_1833_747716.txt-865-13	bar	dwug_en	3.0	1.0	1.0	1.0	2.0					1.0	5
1192	fic_2002_47139.txt-175-11	nf_1841_747644.txt-1703-81	bar	dwug_en	1.0		1.0	1.0						1.0	3
1194	fic_2002_47139.txt-175-11	nf_1859_747504.txt-1852-7	bar	dwug_en	1.0			1.0						1.0	2
1196	fic_2002_47139.txt-175-11	nf_1969_774314.txt-1846-17	bar	dwug_en	1.0			2.0						1.5	2
1197	fic_2002_47139.txt-175-11	nf_1996_777016.txt-84-41	bar	dwug_en	1.0			1.0						1.0	2
1198	fic_2002_47139.txt-175-11	nf_1997_746546.txt-5-2	bar	dwug_en		1.0	1.0							1.0	2
1199	fic_2002_47139.txt-175-11	nf_1997_746546.txt-7-17	bar	dwug_en		1.0	1.0	1.0						1.0	3
1200	fic_2004_29885.txt-4-10	fic_2005_32805.txt-98-8	bar	dwug_en		2.0		3.0						2.5	2
1202	fic_2004_29885.txt-4-10	news_1982_668343.txt-120-14	bar	dwug_en		1.0		1.0						1.0	2
1205	fic_2004_780508.txt-1941-2	fic_2005_32805.txt-98-8	bar	dwug_en	4.0		4.0							4.0	2
1209	fic_2005_32805.txt-98-8	fic_2009_36731.txt-175-10	bar	dwug_en	4.0			4.0			4.0			4.0	3
1210	fic_2005_32805.txt-98-8	mag_1820_553220.txt-63-6	bar	dwug_en			4.0	1.0						2.5	2
1211	fic_2005_32805.txt-98-8	mag_1840_586555.txt-209-16	bar	dwug_en	1.0		1.0							1.0	2
1212	fic_2005_32805.txt-98-8	mag_1848_555562.txt-529-23	bar	dwug_en	1.0	1.0	1.0							1.0	3
1214	fic_2005_32805.txt-98-8	mag_1978_490798.txt-68-16	bar	dwug_en				3.0			3.0			3.0	2
1215	fic_2005_32805.txt-98-8	mag_1995_414327.txt-11-1	bar	dwug_en	1.0			2.0						1.5	2
1216	fic_2005_32805.txt-98-8	mag_2001_410379.txt-52-6	bar	dwug_en		3.0	4.0							3.5	2
1219	fic_2005_32805.txt-98-8	news_2007_637878.txt-23-19	bar	dwug_en		1.0		2.0						1.5	2
1220	fic_2005_32805.txt-98-8	nf_1833_747463.txt-185-12	bar	dwug_en	4.0	2.0	2.0							2.0	3
1221	fic_2005_32805.txt-98-8	nf_1834_747938.txt-891-26	bar	dwug_en	1.0		1.0							1.0	2
1223	fic_2005_32805.txt-98-8	nf_1837_747882.txt-1668-34	bar	dwug_en			1.0	1.0						1.0	2
1224	fic_2005_32805.txt-98-8	nf_1859_747504.txt-1852-7	bar	dwug_en	1.0	2.0	4.0							2.0	3
1226	fic_2005_32805.txt-98-8	nf_1997_746546.txt-7-17	bar	dwug_en		2.0		1.0						1.5	2
1232	fic_2007_34119.txt-128-14	mag_1854_555974.txt-331-28	bar	dwug_en		2.0	1.0							1.5	2
1239	fic_2009_36731.txt-175-10	mag_1854_555974.txt-331-28	bar	dwug_en	1.0			1.0		1.0				1.0	3
1240	fic_2009_36731.txt-175-10	mag_1977_490785.txt-157-11	bar	dwug_en	1.0				4.0					2.5	2
1242	fic_2009_36731.txt-175-10	nf_1827_748059.txt-780-6	bar	dwug_en	1.0	2.0								1.5	2
1257	fic_2009_36786.txt-91-3	mag_1821_553342.txt-352-17	bar	dwug_en	1.0			1.0						1.0	2
1258	fic_2009_36786.txt-91-3	mag_1854_555974.txt-331-28	bar	dwug_en		2.0	1.0							1.5	2
1263	mag_1821_553342.txt-352-17	mag_1825_553676.txt-2-14	bar	dwug_en	4.0	3.0								3.5	2
1264	mag_1821_553342.txt-352-17	mag_1827_553785.txt-135-6	bar	dwug_en	4.0	4.0		4.0						4.0	3
1270	mag_1821_553342.txt-352-17	mag_1853_590222.txt-112-20	bar	dwug_en	3.0	4.0		4.0						4.0	3
1271	mag_1821_553342.txt-352-17	mag_1854_555965.txt-99-21	bar	dwug_en	4.0	4.0		4.0						4.0	3
1272	mag_1821_553342.txt-352-17	mag_1854_555974.txt-331-28	bar	dwug_en	1.0			1.0	2.0	1.0				1.0	4
1273	mag_1821_553342.txt-352-17	mag_1977_490797.txt-632-9	bar	dwug_en	1.0			1.0						1.0	2
1274	mag_1821_553342.txt-352-17	mag_1983_432145.txt-116-0	bar	dwug_en			4.0	1.0			1.0			1.0	3
1275	mag_1821_553342.txt-352-17	mag_1989_492439.txt-6-25	bar	dwug_en	1.0	1.0	1.0							1.0	3
1276	mag_1821_553342.txt-352-17	mag_1995_414327.txt-11-1	bar	dwug_en	1.0			1.0						1.0	2
1277	mag_1821_553342.txt-352-17	mag_1996_426302.txt-31-32	bar	dwug_en	1.0			1.0						1.0	2
1278	mag_1821_553342.txt-352-17	mag_1999_408585.txt-67-25	bar	dwug_en		1.0		1.0						1.0	2
1280	mag_1821_553342.txt-352-17	mag_2005_396762.txt-36-69	bar	dwug_en		1.0		1.0						1.0	2
1282	mag_1821_553342.txt-352-17	mag_2007_391441.txt-3-8	bar	dwug_en	1.0	1.0								1.0	2
1284	mag_1821_553342.txt-352-17	news_2006_629441.txt-53-23	bar	dwug_en	1.0		1.0							1.0	2
1286	mag_1821_553342.txt-352-17	nf_1834_747621.txt-461-14	bar	dwug_en	1.0	1.0	1.0							1.0	3
1287	mag_1821_553342.txt-352-17	nf_1834_747938.txt-891-22	bar	dwug_en	1.0	2.0	1.0	1.0						1.0	4
1288	mag_1821_553342.txt-352-17	nf_1834_747938.txt-892-30	bar	dwug_en	1.0		1.0	1.0						1.0	3
1290	mag_1821_553342.txt-352-17	nf_1844_747607.txt-6839-38	bar	dwug_en	1.0			4.0						2.5	2
1291	mag_1821_553342.txt-352-17	nf_1857_753133.txt-433-14	bar	dwug_en	4.0	3.0		4.0						4.0	3
1297	mag_1825_553587.txt-287-46	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0	1.0						1.0	3
1302	mag_1825_553676.txt-2-14	mag_1854_555974.txt-331-28	bar	dwug_en		1.0	1.0							1.0	2
1304	mag_1825_553676.txt-2-14	nf_1833_747463.txt-185-12	bar	dwug_en	4.0						4.0			4.0	2
1306	mag_1825_553676.txt-2-14	nf_1852_771569.txt-558-20	bar	dwug_en	1.0	1.0								1.0	2
1307	mag_1827_553785.txt-135-6	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	1.0	1.0							1.0	3
1314	mag_1828_553911.txt-101-18	mag_2007_390968.txt-43-4	bar	dwug_en			1.0	1.0						1.0	2
1315	mag_1828_553911.txt-101-18	news_1982_668343.txt-120-14	bar	dwug_en	1.0	1.0		1.0						1.0	3
1400	mag_1835_554346.txt-252-23	mag_1854_555974.txt-331-28	bar	dwug_en			1.0	1.0						1.0	2
1411	mag_1841_554917.txt-240-4	mag_2007_390968.txt-43-4	bar	dwug_en	1.0			1.0						1.0	2
1416	mag_1841_554975.txt-467-21	nf_1969_774314.txt-1305-14	bar	dwug_en				2.0			2.0			2.0	2
1418	mag_1843_555150.txt-426-40	mag_2007_390968.txt-43-4	bar	dwug_en		1.0		1.0						1.0	2
1419	mag_1843_555150.txt-426-40	nf_1857_753133.txt-433-14	bar	dwug_en	3.0			4.0						3.5	2
1421	mag_1843_565272.txt-372-29	mag_2007_390968.txt-43-4	bar	dwug_en			1.0	1.0						1.0	2
1450	mag_1850_589456.txt-285-8	mag_2007_390968.txt-43-4	bar	dwug_en		1.0		1.0						1.0	2
1453	mag_1851_525821.txt-154-28	mag_1854_555974.txt-331-28	bar	dwug_en			1.0	2.0						1.5	2
1457	mag_1853_590222.txt-112-20	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	1.0		1.0						1.0	3
1459	mag_1853_590222.txt-112-20	nf_1969_774314.txt-1846-17	bar	dwug_en		1.0					1.0			1.0	2
1469	mag_1854_555965.txt-99-21	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	1.0								1.0	2
1471	mag_1854_555965.txt-99-21	mag_2004_411262.txt-218-15	bar	dwug_en		3.0					1.0			2.0	2
1472	mag_1854_555965.txt-99-21	news_1973_731109.txt-17-5	bar	dwug_en				4.0			3.0			3.5	2
1473	mag_1854_555965.txt-99-21	news_2007_637878.txt-23-19	bar	dwug_en		1.0					1.0			1.0	2
1476	mag_1854_555965.txt-99-21	nf_1969_774314.txt-1242-6	bar	dwug_en	1.0	1.0								1.0	2
1479	mag_1854_555974.txt-331-28	mag_1854_590346.txt-70-32	bar	dwug_en	1.0		1.0	1.0						1.0	3
1484	mag_1854_555974.txt-331-28	mag_1995_414327.txt-11-1	bar	dwug_en	1.0	2.0								1.5	2
1488	mag_1854_555974.txt-331-28	mag_2009_406395.txt-29-42	bar	dwug_en	3.0		1.0				3.0			3.0	3
1489	mag_1854_555974.txt-331-28	news_1973_731109.txt-17-5	bar	dwug_en	1.0	1.0								1.0	2
1490	mag_1854_555974.txt-331-28	news_1979_734356.txt-17-9	bar	dwug_en		2.0	1.0	1.0						1.0	3
1491	mag_1854_555974.txt-331-28	news_1982_668343.txt-120-14	bar	dwug_en		3.0		3.0						3.0	2
1492	mag_1854_555974.txt-331-28	news_1997_632266.txt-80-10	bar	dwug_en	1.0		1.0							1.0	2
1496	mag_1854_555974.txt-331-28	nf_1833_747716.txt-865-13	bar	dwug_en	1.0			1.0						1.0	2
1499	mag_1854_555974.txt-331-28	nf_1834_747938.txt-891-22	bar	dwug_en			1.0	2.0						1.5	2
1500	mag_1854_555974.txt-331-28	nf_1834_747938.txt-891-26	bar	dwug_en	1.0	1.0		1.0						1.0	3
1501	mag_1854_555974.txt-331-28	nf_1834_747938.txt-892-30	bar	dwug_en	1.0	2.0								1.5	2
1503	mag_1854_555974.txt-331-28	nf_1841_747644.txt-1703-81	bar	dwug_en			1.0	1.0						1.0	2
1504	mag_1854_555974.txt-331-28	nf_1844_747607.txt-3721-35	bar	dwug_en	4.0						3.0			3.5	2
1507	mag_1854_555974.txt-331-28	nf_1850_748019.txt-94-1	bar	dwug_en		4.0		3.0			4.0			4.0	3
1508	mag_1854_555974.txt-331-28	nf_1852_771569.txt-558-20	bar	dwug_en	1.0			1.0		2.0				1.0	3
1510	mag_1854_555974.txt-331-28	nf_1857_753133.txt-433-14	bar	dwug_en		1.0	1.0							1.0	2
1511	mag_1854_555974.txt-331-28	nf_1859_747504.txt-1852-7	bar	dwug_en		1.0	1.0							1.0	2
1512	mag_1854_555974.txt-331-28	nf_1963_774222.txt-1117-19	bar	dwug_en			1.0	1.0						1.0	2
1515	mag_1854_555974.txt-331-28	nf_1996_777016.txt-84-41	bar	dwug_en	1.0	1.0								1.0	2
1537	mag_1977_490785.txt-157-11	mag_2007_390968.txt-43-4	bar	dwug_en	1.0			1.0		3.0				1.0	3
1538	mag_1977_490785.txt-157-11	nf_1852_771569.txt-558-20	bar	dwug_en				1.0		1.0				1.0	2
1539	mag_1977_490789.txt-112-14	mag_2007_390968.txt-43-4	bar	dwug_en		1.0		1.0						1.0	2
1540	mag_1977_490789.txt-112-14	news_1997_632266.txt-80-10	bar	dwug_en	1.0						1.0			1.0	2
1541	mag_1977_490789.txt-112-14	nf_1834_747938.txt-891-22	bar	dwug_en	2.0						2.0			2.0	2
1556	mag_1989_492439.txt-6-25	nf_1834_747634.txt-3663-54	bar	dwug_en		2.0	1.0							1.5	2
1566	mag_1999_408585.txt-67-25	news_1973_731109.txt-17-5	bar	dwug_en	1.0			1.0						1.0	2
1573	mag_2001_416721.txt-69-0	mag_2007_390968.txt-43-4	bar	dwug_en	3.0	2.0		4.0						3.0	3
1581	mag_2002_416592.txt-45-2	mag_2007_390968.txt-43-4	bar	dwug_en	1.0	1.0								1.0	2
1586	mag_2004_411262.txt-218-15	nf_1846_748061.txt-1284-3	bar	dwug_en	2.0			2.0			1.0			2.0	3
1589	mag_2005_396762.txt-36-69	mag_2007_390968.txt-43-4	bar	dwug_en	1.0	2.0								1.5	2
1591	mag_2005_396762.txt-36-69	nf_1857_753133.txt-433-14	bar	dwug_en		1.0		1.0						1.0	2
1603	mag_2007_390968.txt-43-4	mag_2007_391441.txt-3-8	bar	dwug_en	2.0			4.0						3.0	2
1605	mag_2007_390968.txt-43-4	news_1982_668343.txt-120-14	bar	dwug_en		1.0	1.0	1.0						1.0	3
1621	mag_2009_406395.txt-29-42	nf_1857_753133.txt-433-14	bar	dwug_en	1.0			1.0						1.0	2
